Geographic name,population,population density
Mumbai,12442373,20634
New York,8175133,10716
London (UK),89820000,5701
Los Angeles,39670000,2910
Toronto,2731571,4334
Melbourne,50780000,453
Singapore,57040000,8358
Montreal,1704694,4662
Vancouver,631486,5492
Ottawa,934243,334
New Delhi,16787941,11312
